predicted_fare_amount,actual_fare_amount,error,passenger_count,trip_distance,pickup_hour,day_of_week,PULocationID,DOLocationID,trip_type
90.043010258841392,108.10999999999997,-18.07,4,17.800000000000004,13,2,1,1,loop
75.347092912625754,78.300000000000026,-2.95,1,14.3,16,7,4,1,standard
71.186049506543426,79.7,-8.51,1,13.36,16,5,13,1,standard
69.15002063957624,72.700000000000031,-3.55,1,13.739999999999998,11,3,13,1,standard
71.186049506543426,81.100000000000023,-9.91,1,13.56,14,6,13,1,standard
76.6330009775555,83.200000000000045,-6.57,2,13.87,18,5,13,1,standard
77.161152628912049,73.400000000000034,3.76,3,13.830000000000002,12,4,13,1,standard
75.347092912625754,94.699999999999989,-19.35,1,14.030000000000001,18,4,13,1,standard
71.186049506543426,74.799999999999983,-3.61,1,13.72,14,4,13,1,standard
75.347092912625754,75.499999999999986,-0.15,1,14.089999999999998,14,5,13,1,standard
78.2346446206605,80.400000000000034,-2.17,1,15.740000000000002,11,6,13,1,standard
90.338956995095586,94.40000000000002,-4.06,1,19.680000000000003,4,5,13,1,standard
75.061484140977512,74.100000000000023,0.96,1,14.069999999999999,15,1,13,1,standard
79.33536739343306,82.500000000000014,-3.16,1,15.280000000000005,13,6,13,1,standard
71.186049506543426,94.40000000000002,-23.21,1,13.7,16,5,13,1,standard
75.061484140977512,80.400000000000034,-5.34,1,14.0,16,2,13,1,standard
84.76475841216805,81.100000000000023,3.66,3,15.48,14,4,13,1,standard
71.186049506543426,100.99999999999996,-29.81,1,13.47,16,6,13,1,standard
95.944452954218534,114.00000000000001,-18.06,1,25.110000000000003,4,6,13,1,standard
82.088605114101526,90.200000000000017,-8.11,1,16.02,17,6,13,1,standard
79.308365576045261,81.799999999999969,-2.49,3,14.150000000000004,16,4,13,1,standard
75.347092912625754,83.200000000000045,-7.85,1,14.0,15,4,13,1,standard
77.8476093883949,73.400000000000034,4.45,3,14.069999999999999,8,7,13,1,standard
71.186049506543426,71.999999999999986,-0.81,1,13.5,21,6,13,1,standard
79.308365576045261,93.699999999999974,-14.39,2,13.920000000000002,16,4,13,1,standard
71.186049506543426,74.799999999999983,-3.61,1,13.489999999999998,14,3,13,1,standard
71.518147550777414,75.499999999999986,-3.98,1,14.199999999999998,8,4,13,1,standard
66.496047092859172,96.800000000000011,-30.3,1,12.840000000000002,16,3,13,1,standard
71.186049506543426,74.799999999999983,-3.61,1,12.999999999999996,14,5,13,1,standard
93.128875549748244,104.89999999999999,-11.77,1,22.110000000000003,20,6,24,1,standard
91.895752926639716,95.09999999999998,-3.2,3,19.24,9,4,25,1,standard
99.313923169162649,118.89999999999996,-19.59,1,26.19,18,1,41,1,standard
97.5968368786348,100.00000000000003,-2.4,2,26.71,6,7,42,1,standard
88.776266904394518,102.10000000000001,-13.32,1,18.61,13,4,43,1,standard
83.389172866639313,114.99999999999999,-31.61,1,17.009999999999998,5,2,43,1,standard
87.829952836585576,93.0,-5.17,2,17.75,13,4,43,1,standard
72.043817004466845,79.7,-7.66,1,13.399999999999999,17,6,45,1,standard
87.3428275935025,82.500000000000014,4.84,4,16.969999999999995,14,2,48,1,standard
87.014903732603273,119.89999999999996,-32.89,1,16.58,17,1,48,1,standard
83.075924761067512,87.400000000000048,-4.32,1,16.28,17,4,48,1,standard
86.132389833666764,98.250000000000014,-12.12,4,16.899999999999995,11,2,48,1,standard
87.9527046672383,95.800000000000026,-7.85,1,18.120000000000005,17,5,48,1,standard
87.345397264588726,83.90000000000002,3.45,1,16.730000000000004,14,3,48,1,standard
84.167113205107029,83.200000000000045,0.97,1,16.48,10,5,48,1,standard
83.075924761067512,82.500000000000014,0.58,1,16.100000000000005,14,7,48,1,standard
83.389172866639313,80.400000000000034,2.99,1,16.4,4,2,48,1,standard
85.212505518455785,81.100000000000023,4.11,2,16.239999999999995,13,4,48,1,standard
87.345397264588726,83.90000000000002,3.45,1,16.99,18,4,48,1,standard
71.934532619694579,109.99999999999997,-38.07,4,12.919999999999998,16,7,48,1,standard
88.776266904394518,145.80000000000004,-57.02,1,18.959999999999997,18,1,48,1,standard
79.1761686870101,109.99999999999997,-30.82,1,15.700000000000003,11,4,48,1,standard
68.004937930972943,104.99999999999997,-37.0,1,13.600000000000001,6,5,48,1,standard
87.014903732603273,82.500000000000014,4.51,1,16.489999999999995,17,1,48,1,standard
93.730351509916858,94.40000000000002,-0.67,4,19.58,14,4,48,1,standard
87.345397264588726,85.299999999999969,2.05,1,16.96,14,7,48,1,standard
87.014903732603273,89.500000000000028,-2.49,1,17.12,15,1,48,1,standard
87.829952836585576,93.0,-5.17,2,18.17,13,5,48,1,standard
84.752572322539592,87.400000000000048,-2.65,1,17.9,6,4,48,1,standard
89.675311281830318,89.500000000000028,0.18,1,18.320000000000004,12,6,48,1,standard
87.236904286054909,82.500000000000014,4.74,2,16.529999999999998,13,2,48,1,standard
89.675311281830318,91.6,-1.92,1,18.4,12,7,48,1,standard
85.631933209997868,83.200000000000045,2.43,3,16.659999999999997,5,2,48,1,standard
86.354705271859629,83.90000000000002,2.45,2,17.079999999999995,11,3,48,1,standard
87.345397264588726,90.900000000000048,-3.55,1,17.289999999999996,12,4,48,1,standard
77.365510615580988,86.0,-8.63,1,15.829999999999998,10,5,48,1,standard
84.167113205107029,86.0,-1.83,1,17.21,9,4,48,1,standard
87.345397264588726,87.400000000000048,-0.05,1,16.7,20,4,48,1,standard
87.345397264588726,117.80000000000001,-30.45,1,16.659999999999997,13,4,48,1,standard
83.389172866639313,113.60000000000002,-30.21,1,17.070000000000004,4,2,48,1,standard
83.075924761067512,113.60000000000002,-30.52,1,16.08,12,3,48,1,standard
87.345397264588726,83.200000000000045,4.15,1,17.1,19,4,48,1,standard
87.5682314239855,82.500000000000014,5.07,2,16.969999999999995,12,4,48,1,standard
87.236904286054909,84.599999999999966,2.64,2,16.95,14,2,48,1,standard
87.9527046672383,86.0,1.95,1,17.660000000000004,13,5,48,1,standard
85.212505518455785,83.90000000000002,1.31,2,16.0,12,6,50,1,standard
87.5682314239855,81.799999999999969,5.77,2,16.7,14,7,50,1,standard
87.345397264588726,89.500000000000028,-2.15,1,16.7,18,5,50,1,standard
87.014903732603273,81.100000000000023,5.91,1,16.489999999999995,14,1,50,1,standard
83.6443569204162,86.0,-2.36,2,15.96,10,5,66,1,standard
87.9527046672383,94.40000000000002,-6.45,1,17.590000000000003,17,4,68,1,standard
83.075924761067512,86.699999999999974,-3.62,1,15.899999999999995,17,4,68,1,standard
87.345397264588726,117.09999999999997,-29.75,1,17.16,14,4,68,1,standard
90.338956995095586,90.900000000000048,-0.56,1,19.08,9,1,68,1,standard
30.320923180406872,45.399999999999991,-15.08,1,6.0699999999999994,13,4,68,1,standard
86.969756911891324,82.500000000000014,4.47,3,16.44,18,6,68,1,standard
79.308365576045261,109.99999999999997,-30.69,2,14.46,16,6,68,1,standard
87.345397264588726,87.400000000000048,-0.05,1,16.899999999999995,15,4,68,1,standard
67.042586515287908,104.99999999999997,-37.96,1,12.860000000000001,15,1,68,1,standard
87.014903732603273,85.299999999999969,1.71,1,17.110000000000003,15,2,68,1,standard
87.9527046672383,117.00000000000004,-29.05,1,17.74,16,6,68,1,standard
83.075924761067512,83.90000000000002,-0.82,1,16.169999999999998,17,6,68,1,standard
85.212505518455785,83.200000000000045,2.01,2,16.259999999999998,14,6,68,1,standard
86.134924296157124,83.90000000000002,2.23,1,17.009999999999998,11,5,68,1,standard
92.998980772133137,107.7,-14.7,2,21.130000000000003,16,4,68,1,standard
87.9527046672383,86.0,1.95,1,17.36,14,4,68,1,standard
81.923950381300315,82.500000000000014,-0.58,1,15.989999999999998,11,4,68,1,standard
88.776266904394518,93.0,-4.22,1,18.61,14,1,68,1,standard
87.603882931958722,86.0,1.6,4,17.720000000000002,13,1,68,1,standard
83.075924761067512,89.500000000000028,-6.42,1,16.149999999999995,15,4,68,1,standard
88.652378584720523,90.900000000000048,-2.25,3,18.709999999999997,13,7,68,1,standard
